ID,initials,name,creditsForCompletion,duration
4445370c-6108-4f2e-bb1c-f31efff90a3d,initials-4445370,name-4445370,54,90.2
4445371b-b496-4d26-a82e-ec2872de8e5b,initials-4445371,name-4445371,16,1.1
44453729-9592-49e6-bb16-34533c68d24f,initials-4445372,name-4445372,12,82.2
4445373f-2206-4558-b24c-c5c5037646ad,initials-4445373,name-4445373,60,86.6
44453742-00ab-4684-9fd3-7dca2def30bb,initials-4445374,name-4445374,77,35.3
44453753-b861-4d6f-92f7-db655be23be3,initials-4445375,name-4445375,57,86.1
44453765-e7ae-4a4c-8a7a-490ee6fc0205,initials-4445376,name-4445376,31,0.2
4445377a-30b0-4695-b365-022a74ea93b0,initials-4445377,name-4445377,48,90.3
44453788-cc9d-4ed6-82bb-258eb2c417f3,initials-4445378,name-4445378,0,0.2
44453794-ab48-4cb7-a715-d54f7212329d,initials-4445379,name-4445379,99,52.3
4445380a-db4e-4f66-bbb0-53878d1f7ac7,initials-4445380,name-4445380,79,20.3
44453815-8ec4-44bd-b314-6fcb2f454c0e,initials-4445381,name-4445381,14,71.1
44453828-ceaa-4334-8b97-a920b3c07ccf,initials-4445382,name-4445382,24,62.5
44453835-2776-4ede-9377-0ccb2ae8b6f2,initials-4445383,name-4445383,93,58.3
4445384a-ca84-496d-9b9b-b22624047a95,initials-4445384,name-4445384,36,36
44453851-8d22-4171-a6e9-62d8c3d93031,initials-4445385,name-4445385,15,94.5
44453861-1875-4ac4-94d4-7c1ff2612508,initials-4445386,name-4445386,74,64.2
4445387e-7dbd-4acb-92a8-2763b97c1714,initials-4445387,name-4445387,75,74.2
4445388e-e626-48a7-8673-3c59285e826b,initials-4445388,name-4445388,14,48.2
44453896-9efc-4d90-827d-5e51ac0cd993,initials-4445389,name-4445389,44,40.1
44453903-485e-410b-a722-c58659902966,initials-4445390,name-4445390,51,94.3
4445391b-a9df-4e55-a7a0-9be1865f2c99,initials-4445391,name-4445391,12,67.2
44453921-801d-441b-9004-416e77ed0e74,initials-4445392,name-4445392,64,39.3
44453938-b922-4a32-9500-414cfac65bf7,initials-4445393,name-4445393,41,16.4
44453941-6430-4e7a-8c48-eddae4ce06d7,initials-4445394,name-4445394,62,75.1
4445395a-26e1-4914-bef7-87f292e900f2,initials-4445395,name-4445395,21,6.2
44453965-1a99-47a3-884e-7c2b6ad4f1ef,initials-4445396,name-4445396,80,25.3
44453974-bbaa-43c7-8d40-dcc53c716d3d,initials-4445397,name-4445397,51,42.3
44453984-5def-4e82-ae86-7abd6a036aa0,initials-4445398,name-4445398,27,30.2
4445399a-566f-47db-a2fd-e283fc662d90,initials-4445399,name-4445399,87,35.6
4445400c-8e92-4ebd-a650-5ef132fa7a7f,initials-4445400,name-4445400,75,42.1
44454011-4b79-4b11-80c3-81b63207f6ad,initials-4445401,name-4445401,85,70.2
44454029-6356-42ab-a9c1-d7dece073030,initials-4445402,name-4445402,81,1.2
4445403f-c917-44c5-a673-cddb884336f7,initials-4445403,name-4445403,80,35.6
44454043-f743-4a5a-acad-8da06f6c1b1e,initials-4445404,name-4445404,98,70.2
44454056-5712-4223-8de0-5b197a81d8e3,initials-4445405,name-4445405,24,45.3
4445406f-8d99-45e6-9a90-423af321444b,initials-4445406,name-4445406,39,87.8
44454074-06b5-4b86-b03d-50b62240d8ce,initials-4445407,name-4445407,6,17.1
44454089-89dc-48cf-9219-25455df738f3,initials-4445408,name-4445408,81,45.3
4445409f-9e7c-4328-92bf-1fb218f99f35,initials-4445409,name-4445409,20,11.2
4445410d-1e8b-49c5-8e54-69557afcb8b2,initials-4445410,name-4445410,54,85.2
44454118-c9e6-4856-85cc-20e1e3f90f25,initials-4445411,name-4445411,27,37.3
44454128-71aa-4ddc-8aaa-31a9e726b95d,initials-4445412,name-4445412,3,90.1
44454137-c2ba-4834-9948-d1a6ad26ad3a,initials-4445413,name-4445413,91,6.2
44454145-37ee-479b-9263-064bcb099fae,initials-4445414,name-4445414,60,44.2
4445415d-e701-4a2b-877f-2276435f853b,initials-4445415,name-4445415,36,92.2
44454167-7cc8-458c-a2ba-615c93bf79e7,initials-4445416,name-4445416,1,70.3
4445417d-85ac-449b-bcea-3d16667a56f4,initials-4445417,name-4445417,5,86.3
44454188-c4c8-45d7-9231-ff1a6c75d12a,initials-4445418,name-4445418,99,39.3
44454190-1a57-44c7-921f-f242794a6e15,initials-4445419,name-4445419,20,94.9
44454209-50de-4195-a8f8-e37ae35f2d4f,initials-4445420,name-4445420,38,2.2
44454210-fb6c-4d76-924a-8fa39450107d,initials-4445421,name-4445421,18,36.4
44454223-6988-42f0-ac2c-8d3a075a950e,initials-4445422,name-4445422,79,0.6
44454234-6b01-41f7-8469-d1c6769a8918,initials-4445423,name-4445423,32,34.2
44454249-b5be-4648-8f10-291176d88dd8,initials-4445424,name-4445424,37,82.2
44454255-e60f-45b8-a786-d55bcffddbc7,initials-4445425,name-4445425,49,15.6
44454265-8101-4dee-9693-297c448f6982,initials-4445426,name-4445426,35,68.1
4445427b-e447-4959-abd9-de10333c4b52,initials-4445427,name-4445427,65,73.3
44454285-866a-4178-9ca3-017e23d462af,initials-4445428,name-4445428,57,40.2
44454297-7c75-4cfa-9f44-e31b194de850,initials-4445429,name-4445429,69,31.2
44454301-39b9-4a15-bb12-24d8efa33c4b,initials-4445430,name-4445430,85,62.3
44454315-ceaa-4e35-be45-fddc297ca172,initials-4445431,name-4445431,88,93.2
44454328-66f9-46b1-97e7-172b04d68de8,initials-4445432,name-4445432,48,23.3
44454331-c491-4454-b73d-fe33d14298b9,initials-4445433,name-4445433,61,22.3
44454347-3942-4f79-81ea-4f2a70e98aec,initials-4445434,name-4445434,52,9.3
44454350-89a8-4c03-8a50-ab54baa29b86,initials-4445435,name-4445435,69,60.3
4445436e-bbf3-41da-b615-08b6f541b52b,initials-4445436,name-4445436,87,26.8
4445437b-af9d-46fc-bd31-13db19dbbcb2,initials-4445437,name-4445437,41,19.3
4445438e-c364-4847-a6cc-5ef6ed8feafb,initials-4445438,name-4445438,82,60.2
44454399-3699-4d28-9dad-900b3e54eb68,initials-4445439,name-4445439,62,27.3
4445440c-daad-42ed-b5cc-580427edc2af,initials-4445440,name-4445440,30,52.8
44454413-5fbb-48c1-a0b4-07ebb509616c,initials-4445441,name-4445441,80,23.3
4445442e-9234-4eba-a23d-97cdaaeb1b42,initials-4445442,name-4445442,4,74.1
4445443c-660a-494f-bd63-95f26f182085,initials-4445443,name-4445443,90,7.3
4445444d-2270-456b-84d8-46c8ff8496ad,initials-4445444,name-4445444,31,59.1
4445445f-32e8-4cfd-8b38-b3b08bb7b573,initials-4445445,name-4445445,30,96.6
44454468-34fb-41e0-9757-a9977bd18ff5,initials-4445446,name-4445446,64,98.2
44454472-1cf4-4e13-9ed2-0689f882c5f3,initials-4445447,name-4445447,59,93.1
4445448b-cdf3-4877-a7d2-56f08816123a,initials-4445448,name-4445448,79,66.2
44454491-9e82-4393-bb4f-008fe0e439db,initials-4445449,name-4445449,63,41.6
44454503-bfef-4ef8-93ae-b25a536d43fd,initials-4445450,name-4445450,51,57.2
4445451a-3bc6-4454-ad3d-2874394e9b09,initials-4445451,name-4445451,97,92.2
4445452e-9519-4016-918c-d890e6f0c1e1,initials-4445452,name-4445452,70,54.7
44454535-d39b-49fd-8fb8-3abfc2db39d3,initials-4445453,name-4445453,26,71.2
44454545-43dd-44d6-9279-15a651a77c58,initials-4445454,name-4445454,40,97.1
44454556-8149-4abe-8eed-2358b9e33509,initials-4445455,name-4445455,85,36.1
44454568-5ac2-4fce-ba5c-4bf96da4baeb,initials-4445456,name-4445456,6,40.2
44454571-8e47-4361-ab87-c496aef4b564,initials-4445457,name-4445457,20,55.1
4445458e-cf5d-4b7f-a9f9-fc2980d81d61,initials-4445458,name-4445458,50,16.2
4445459e-36ff-4cf3-ad5a-bc8d2dea5539,initials-4445459,name-4445459,55,7.4
44454606-d5eb-486e-9852-65d42f0e4909,initials-4445460,name-4445460,91,85.3
44454614-e284-451d-9717-6eb7f73afe16,initials-4445461,name-4445461,67,98.3
44454625-f62f-4068-a88c-dd82ad4d05da,initials-4445462,name-4445462,59,55.7
44454633-be92-4eb3-8bf6-4c2bfbb9e696,initials-4445463,name-4445463,50,82.6
4445464f-3570-4630-b8fd-6a572a12ebc6,initials-4445464,name-4445464,32,82.5
44454659-7df1-4f69-9b69-80578420d2c4,initials-4445465,name-4445465,56,77.3
4445466d-2b56-4c54-a154-bfd1228d386b,initials-4445466,name-4445466,88,21.3
44454671-bbae-47c8-b799-8a0c1ff2a8a2,initials-4445467,name-4445467,43,66.1
44454689-cb84-4b02-aaa7-84d13713eb0c,initials-4445468,name-4445468,37,8.1
44454691-d675-488e-822e-85664745ab3c,initials-4445469,name-4445469,85,83.2
